Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2042 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 6: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 19: Uburyo bwo kwamamaza budateganyijwe muri iri teka,"(1) Igipimo ntarengwa cy’amafaranga yakwa nk’amahoro ku buryo bwo kwamamaza budateganyijwe muri iri teka ni FRW 10.000 ku gihembwe cyangwa FRW 1.000 ku munsi. (2) Uburyo bwo kwamamazabudateganyijwe muri iri teka
busabirwa uruhushya rwihariye ku
rwego rubifitiye ububasha.
Icyakora, kwamamaza bikorewe ku
nyubako cyangwa ku binyabiziga
n’abasanzwe babikoresha
ntibisabirwa uruhushya kandi
ntibyishyuzwa.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2043 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 7: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 20: Icyapa kiranga ahantu,"Icyapa kiranga ahantu nticyishyurirwa amahoro. Icyakora, iyo cyongeweho ubutumwa bwamamaza ubucuruzi cyishyurirwa amahoro kuri metero kare, hakurikijwe ibiteganywa n’ingingo ya 16 y’iri teka.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2044 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 8: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 21: Icyapa kiranga ubwato,"(1) Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro ku cyapa kiranga ubwato bishyizweho ku buryo bukurikira: (a) ubwato bufite moteri: FRW 15.000; (b) ubwato budafite moteri: FRW 5.000.(2) Amafaranga y’amahoro avugwa mu
mu gika cya (1) cy’iyi ngingo
atangwa inshuro imwe gusa kuri buri
bwato.

(3) Icyakora, iyo ubwato butakaje
icyapa, nyirabwo yongera
kwishyura amafaranga y'amahoro
avugwa mu gika cya (1) cy'iyi
ngingo kugira ngo ahabwe ikindi. ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2045 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 9: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 22: Iminara y’itumanaho,"(1) Igipimo ntarengwa cy’amafaranga
yakwa nk’amahoro ku minara
y’itumanaho ni FRW 2.000 kuri buri
metero imwe y’ubujyejuru ku
mwaka.

(2) Iyo umunara ushinze ku nyubako
cyangwa ku kindi kintu gituma
ubujyejuru bwawo bwiyongera,
uburebure bw’iyo nyubako cyangwa
ubw’icyo kintu na bwo burabarwa
mu kugena uburebure bwishyuzwa.
Uburebure bw’icyo umunara
ushinzeho bubarirwa FRW 1.000
kuri metero imwe y’ubujyejuru ku
mwaka.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2046 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 10: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 23: Ubucuruzi bwo gutwara ibikomoka kuri kariyeri,"Igipimo ntarengwa cy’amafaranga yakwa nk’amahoro, kuri buri nshuro imodoka ipakiye, ku bucuruzi bwo gutwara ibikomoka kuri kariyeri ni FRW 1.000 kuri m3 y’ibikomoka kuri kariyeri biri mu modoka.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2047 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 11: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 24: Ubucuruzi bwo gupakira amatafari cyangwa amategura,"Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro ku bucuruzi bwo gupakira amatafari cyangwa amategura bishyizweho ku buryo bukurikira: (a) FRW 1.000 kuri m3 y’amatafari ari mu modoka, kuri buri nshuro imodoka ipakiye amatafari; (b) 500 FRW kuri m3 y’amategura ari mu modoka kuri buri nshuro imodoka ipakiye amategura.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2048 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya 12: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 25: Ibyasaruwe bikomoka ku mashyamba,"Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro ku byasaruwe bikomoka ku mashyamba bishyizweho ku buryo bukurikira:(a) FRW 150 kuri buri rubaho
yishyurwa n’uwasatuye imbaho;

(b) FRW 150 kuri buri mufuka
w’amakara yishyurwa n’uwatwitse
amakara;

(c) FRW 1.000 kuri buri m3 y’inkwi
yishyurwa n’uwasaruye ishyamba;

(d) FRW 1.000 kuri buri m3 y’ibiti
yishyurwa n’uwasaruye ishyamba. ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2049 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA IV: ISONERWA N’IVANWAHO RY’AMAHORO,Icyiciro cya 13: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 26: Serivisi n’ibyemezo bisonewe amahoro,"1) Serivisi n’ibyemezo bikurikira bisonewe amahoro: (a) serivisi y’ihererekanya ry’uburenganzira ku mutungo utimukanwa; (b) icyemezo cy’umutungo w’ubutaka gitangwa na komite y’ubutaka; (c) icyemezo cy’iyandikishwa ry’ubutaka;(d) icyemezo cyo gusana
inyubako;

(e) icyemezo cyo kuvugurura
inyubako;

(f) icyemezo cyo kubaka
uruzitiro;

(g) uruhushya rwo kubaka mu
mudugudu w’icyaro;

(h) icyemezo cy’uko umuntu
akiriho;

(i) icyemezo cy’uko umuntu
yapfuye;

(j) uruhushya rwo gutwika
amakara, amatafari
n’amategura;

(k) uruhushya rwo gusarura
ishyamba;

(l) icyemezo cy’ubwishingire
bw’umuntu.

(2) Icyakora, isonerwa ry’amahoro kuri
serivisi n’ibyemezo bivugwa mu
gika cya (1) cy’iyi ngingo
ntirivanaho ko bigomba gusabwa mu nzego zibifitiye ububasha mbere
yo gukoreshwa icyo bigenewe. ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2050 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA IV: ISONERWA N’IVANWAHO RY’AMAHORO,Icyiciro cya 14: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 27: Ibinyabiziga n’amato bisonewe amahoro yakwa kuri parikingi rusange,"Ibinyabiziga n’amato bikurikira bisonewe amahoro yakwa kuri parikingi rusange: (a) ibinyabiziga cyangwa amato bya Leta, iby’ibigo n’iby’imishinga bya Leta bifite ibyapa bibiranga; (b) ibinyabiziga cyangwa amato by’Ambasade; (c) ibinyabiziga cyangwa amato by’imiryango mpuzamahanga ishamikiye ku Muryango w’Abibumbye n’iby’indi miryango mpuzamahanga ifitanye amasezerano yihariye na Leta y’u Rwanda; (d) ibinyabiziga byihariye byagenewe abafite ubumuga.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2051 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA IV: ISONERWA N’IVANWAHO RY’AMAHORO,Icyiciro cya 15: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 28: Kuvanirwaho amahoro atarishyuwe,"(1) Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage ishobora, mu gihe igena ibipimo by’amahoro, kuvaniraho abatishoboye amahoro y’ibirarane batashoboye kwishyura mu mwaka w’ingengo y’imari urangiye, iyo babisabye. (2) Umuntu usaba kuvanirwaho amahoro atashoboye kwishyura mu mwaka w’ingengo y’imari urangiye yandikira umuyobozi w’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage agaragaza impamvu zifatika. Iyo Umuyobozi wandikiwe asanze ubusabe bufite ishingiro, akorera raporo Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage kugira ngo ibifateho icyemezo.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2052 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA IV: ISONERWA N’IVANWAHO RY’AMAHORO,Icyiciro cya 16: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 29: Urwego rushinzwe kugena ibipimo by’amahoro,(1) Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage ishinzwe kugena ibipimo by’amahoro ateganyijwe muri iri teka. (2) Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage igena ibipimo by’amahoro ishingiye ku bipimo ntarengwa biteganyijwe muri iri teka.,
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2053 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA IV: ISONERWA N’IVANWAHO RY’AMAHORO,Icyiciro cya 17: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 30: Itariki ntarengwa yo kugena ibipimo by’amahoro ateganyijwe muri iri teka,"(1) Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage igena ibipimo by’amahoro ateganyijwe muri iri teka bitarenze itariki ya 30 Kamena ya buri mwaka. (2) Icyakora, iyo Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage nta kindi cyemezo yafashe kirebana n’igenwa ry’ibipimo by’amahoro ateganyijwe muri iri teka, kugeza ku itariki
ivugwa mu gika cya (1) cy’iyi
ngingo, ibipimo yagennye umwaka
ubanza ni byo bikomeza
gukurikizwa mu mwaka
uwukurikira. ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2054 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA IV: ISONERWA N’IVANWAHO RY’AMAHORO,Icyiciro cya 18: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 31: Itangazwa ry’ibipimo by’amahoro ateganyijwe muri iri teka,(1) Icyemezo gifashwe n’Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage cyerekeye imisoro n’ibipimo by’amahoro gitangazwa kandi kikamanikwa ku nyubako zose z’ubuyobozi bw’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage bireba n’ahandi hantu hahurira abantu benshi. (2) Urwego rw’imitegekere y’Igihugu rwegerejwe abaturage rushyikiriza Minisitiri ufite imisoro n’amahoro mu nshingano kopi y’icyemezo kivugwa mu gika cya (1) cy’iyi ngingo.,
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2055 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA VI: INGINGO ZINYURANYE,Icyiciro cya 19: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 32: Impinduka ku micungire y’umutungo rusange wishyurwaho amahoro,"Iyo umutungo rusange wishyurwagaho amahoro ateganywa n’iri teka weguriwe gucungwa n’abikorera ku bw’amasezerano bagiranye n’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage, ayo masezerano nta ngaruka agira ku bipimo by’amahoro yatangwaga ku mikoreshereze y’uwo mutungo.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2056 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA VI: INGINGO ZINYURANYE,Icyiciro cya 20: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 33: Parikingi y’abikorera,"(1) Parikingi y’abikorera ni parikingi iri mu mbago z’ikibanza cy’abikorera kandi icungwa na nyirayo. (2) Icyakora, iyo nyirayo yishyuje amafaranga ya parikingi bifatwa nk’igikorwa kigamije inyungu bityo akishyura imisoro iteganywa n’amategeko abigenga.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2057 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA VI: INGINGO ZINYURANYE,Icyiciro cya 21: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 34: Kwirinda kwaka kabiri amahoro cyangwa amafaranga yakwa nk’amahoro,"Ibikorwa urwego rusoresha rwatseho amahoro cyangwa amafaranga yakwa nk’amahoro mbere y’uko iri teka ritangazwa
mu Igazeti ya Leta ya Repubulika y’u
Rwanda, ntibishobora kongera kwakwaho
amahoro cyangwa amafaranga yakwa
nk’amahoro y’ubwoko bumwe. ",
,,UMUTWE WA VII: INGINGO ZISOZA,Icyiciro cya 22: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 35: Abayobozi bashinzwe gushyira mu bikorwa iri teka,Iri teka ryateguwe mu rurimi rw’Ikinyarwanda.,
,,UMUTWE WA VII: INGINGO ZISOZA,Icyiciro cya 23: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 37: Ingingo ivanaho,Iteka rya Perezida n° 25/01 ryo ku wa 09/07/2012 rishyiraho urutonde kandi rigena ibipimo ntarengwa by’amahoro n’andi mafaranga yakirwa n’inzego z’ibanze rivanyweho.,
,,UMUTWE WA VII: INGINGO ZISOZA,Icyiciro cya 24: Ibipimo ntarengwa by’amafaranga yakwa nk’amahoro,Ingingo ya 38: Gutangira gukurikizwa,Iri teka ritangira gukurikizwa ku munsi ritangarijweho mu Igazeti ya Leta ya Repubulika y’u Rwanda.,
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2020 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,Ingingo ya mbere: Icyo aya mabwiriza agamije,Aya mabwiriza agena ibisabwa n’imikorere y’abantu bakora umwuga wo kunganira abasoreshwa.,
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2021 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,Ingingo ya 2: Ibisabwa mu guhagararira abandi mu misoro,"Usaba guhagararira no kunganira abasoreshwa mu bibazo bijyanye n’imisoro, asabwa kuba yujuje ibi bikurikira : 1o kuba afite nibura impamyabumenyi
ihanitse mu ibaruramari, mu misoro,
mu by’Imari, Ubukungu, Ubucuruzi,
Amategeko cyangwa Icungamutungo;

2o kuba ari inyangamugayo,
by’umwihariko atarigeze
akurikiranwaho icyaha cyo kunyereza
umusoro cyangwa umutungo wa
Leta;

3o kuba afite icyemezo gitangwa
n‘ubutabera cyo kuba atarakatiwe
n’inkiko ;

4o kuba atarirukaniwe icyaha cya
ruswa ;

5o kuba afite uburambe bw’imyaka
byibuze ibiri (2) mu kazi
k’ibaruramari, amategeko, igenzura
ry’imisoro cyangwa indi mirimo isa
nayo ;

6o ku byerekeye amasosiyete
y’ubufatanye, buri muntu atanga
impapuro asabwa kandi aryozwa
ibikorwa bye;

7o kuba yaratanze
amamenyeshamusoro ku nyungu ntibireba abantu basaba kunganira
abasoreshwa nta bundi bucuruzi
bakoze;

8o kuba atarimo umwenda
w’umusoro;

9o kwandikira Komiseri Mukuru asaba
uburenganzira bwo guhagararira no
kwunganira abasoreshwa. Ibaruwa
isaba igomba kuba iherekejwe n’ibi
bikurikira:

a) kopi y’icyemezo cy’iyandikisha
ry’ubucuruzi ;

b)  umwirondoro na kopi
y’impamyabushobozi iriho
umukono wa Noteri;

c) icyemezo cy’uko hishyuwe
amafaranga ibihumbi ijana
by’amafarangaa y’u Rwanda
(100.000 FWR) adasubizwa;

d) Kuba afite konti muri banki,
agasanduku k’iposita cyangwa e
mail, aho akorera hazwi
hashimangirwa n’amasezerano
y’ubukode cyangwa icyemezo
cy’umutungo.
y’imyaka ibiri (2) ishize. Ibi ariko",
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2022 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,Ingingo ya 3: Ibibujijwe abahoze ari abakozi ba RRA,Abahoze ari abakozi ba RRA ntibemerewe guhagararira cyangwa kunganira abandi mu misoro ku birebana n’amadosiye bakoze bakiri muri RRA.,
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2023 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,"Ingingo ya 4: Ikarita itangwa n'Ubuyobozi
bw'Imisoro",Ubuyobozi bw’Imisoro butanga amakarita ku bahawe uburenganzira bwo guhagararira abandi mu misoro.,
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2024 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,"Ingingo ya 5: Igihe uburenganzira bwo
guhagararira abandi bumara ",Icyemezo cyo kwemererwa guhagararira no kunganira abasoreshwa kimara imyaka itatu (3) ishobora kongerwa gusa harebwe niba usaba acyujuje ibisabwa bivugwa mu ngingo ya 2 y’aya mabwiriza. Usaba kongererwa agaragaza icyemezo cy’uko yishyuye amafaranga ibihumbi mirongo itanu by’amafaranga y’u Rwanda (50.000 FRW) adasubizwa. Ikigo cy’Imisoro n’Amahoro gishobora gutesha agaciro urwo ruhushya igihe cyose uwaruhawe atacyujuje kimwe mu byangombwa biteganyijwe mu ngingo ya 2y’aya mabwiriza.,
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2025 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,Ingingo ya 6: Imirimo ikorwa n’abahagararira abasoreshwa,"Imirimo ikorwa n’abahagararira abasoreshwa n’iyi ikurikira: 1o Gutegura no kugeza ku Kigo cy’Imisoro n’Amahoro imenyesha musoro ; 2o Guhagararira no kunganira umusoreshwa mu igenzura ry’Imisoro, mu nzego z’ubujurire no mu bindi bibazo byose bijyanye n’imisoro.",
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2026 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,Ingingo ya 7: Ivanwaho ry'ingingo zinyuranyije n’aya mabwiriza,Amabwiriza yose abanziriza aya kandi anyuranyije nayo avanyweho.,
AMABWIRIZA YA KOMISERI MUKURU Nº 005/2020 YO KU WA 05/08/2027 AGENA IBISABWA N’IMIKORERE Y’ABANTU BAKORA UMWUGA WO KUNGANIRA ABASORESHWA,Amabwiriza,,Imisoro,Ingingo ya 8: Igihe aya mabwiriza atangira gukurikizwa,Aya mabwiriza atangira gukurikizwa ku munsi yatangarijweho mu Igazeti ya Leta ya Repubulika y’u Rwanda.,
AMABWIRIZA YA KOMISERI MUKURU Nº 001/2023 YO KU WA 11/01/2023 AGENA UBURYO BWO KUMENYEKANISHA NO KWISHYURA UMUSORO KU BIHEMBO N’UMUSORO KU NYONGERAGACIRO KU GIHEMBWE,Amabwiriza,,Imisoro,"
Ingingo ya mbere: Icyo aya mabwiriza
agamije ","
Aya mabwiriza agena uburyo bwo
kumenyekanisha no kwishyura umusoro ku
bihembo n’umusoro ku nyongeragaciro ku
gihembwe. ",
AMABWIRIZA YA KOMISERI MUKURU Nº 001/2023 YO KU WA 11/01/2024 AGENA UBURYO BWO KUMENYEKANISHA NO KWISHYURA UMUSORO KU BIHEMBO N’UMUSORO KU NYONGERAGACIRO KU GIHEMBWE,Amabwiriza,,Imisoro,Ingingo ya 2: Uburyo bwo kumenyekanisha umusoro ku bihembo n’umusoro ku nyongeragaciro,"(1) Usora ufite ibyacurujwe mu mwaka bingana cyangwa biri munsi ya 200.000.000 FRW akora imenyekanisha n’iyishyurwa ry’umusoro ku bihembo cyangwa umusoro ku nyongeragaciro rimwe mu gihembwe mu gihe cy’iminsi 15 ikurikira irangira ry’igihembwe kijyanye n’uwo musoro. (2) Ibihembwe bimenyekanishwa kandi bikishyurwa bitarenze amatariki akurikira: (a) igihembwe cya mbere kimenyekanishwa kikanishyurwa bitarenze 15 Mata ; (b) igihembwe cya kabiri kimenyekanishwa kikanishyurwa bitarenze 15 Nyakanga ; (c) igihembwe cya gatatu kimenyekanishwa kikanishyurwa bitarenze 15 Ukwakira ; (d) igihembwe cya kane kimenyekanishwa kikanishyurwa bitarenze 15 Mutarama. (3) Usora ufite ibyacurujwe bingana cyangwa biri munsi ya 200.000.000 FRW ku mwaka, uhisemo gukora imenyekanisha no kwishyura buri kwezi, asabwa kubanza kubimenyesha Ubuyobozi bw’Imisoro mu
nyandiko.

(4) Guhitamo kumenyekanisha no kwishyura
buri kwezi ntibishobora gusubirwamo
mbere y’imyaka ibiri.

(5) Icyakora iyo umubare w’ibyacurujwe mu
mwaka uhindutse ukarenga 200.000.000
FRW, usora agomba kumenyekanisha no
kwishyura umusoro ku bihembo cyangwa
umusoro ku nyongeragaciro buri kwezi.


(6) Mu gushyira mu bikorwa aya mabwiriza, ku
bijyanye n’umwaka wa 2022, igihembwe
cya 4 nk’uko kivugwa mu gika cya 2 cy’iyi
ngingo, kigomba kumenyekanishwamo
gusa ibirebana n’ukwezi kw’Ukuboza kandi
bigakorwa bitarenze 15 Mutarama 2023",
AMABWIRIZA YA KOMISERI MUKURU Nº 001/2023 YO KU WA 11/01/2025 AGENA UBURYO BWO KUMENYEKANISHA NO KWISHYURA UMUSORO KU BIHEMBO N’UMUSORO KU NYONGERAGACIRO KU GIHEMBWE,Amabwiriza,,Imisoro,Ingingo ya 3: Ivanwaho ry'ingingo zinyuranyije n’aya mabwiriza,Ingingo zose z’amabwiriza yose abanziriza aya kandi anyuranyije nayo zivanyweho.,
AMABWIRIZA YA KOMISERI MUKURU Nº 001/2023 YO KU WA 11/01/2026 AGENA UBURYO BWO KUMENYEKANISHA NO KWISHYURA UMUSORO KU BIHEMBO N’UMUSORO KU NYONGERAGACIRO KU GIHEMBWE,Amabwiriza,,Imisoro,Ingingo ya 4: Ingingo y’Ururimi,Aya mabwiriza yateguwe mu rurimi rw’Ikinyarwanda.,
AMABWIRIZA YA KOMISERI MUKURU Nº 001/2023 YO KU WA 11/01/2027 AGENA UBURYO BWO KUMENYEKANISHA NO KWISHYURA UMUSORO KU BIHEMBO N’UMUSORO KU NYONGERAGACIRO KU GIHEMBWE,Amabwiriza,,Imisoro,Ingingo ya 5: Gutangira gukurikizwa,Aya mabwiriza atangira gukurikizwa kuva ku munsi yatangarijweho mu Igazeti ya Leta ya Repubulika y’u Rwanda.,
,,,,,,
ITEKA RYA MINISITIRI Nº 002/13/10/TC RYO KUWA 31/07/2013 RIGENA IMIKORESHEREZE Y’IMASHINI Y’IKORANABUHANGA YEMEWE MU GUTANGA INYEMEZABUGUZI,Amabwiriza,NA,NA,Ingingo ya mbere: Icyo iri teka rigamije,"Iri Teka rigena imiterere y’imashini y’ikoranabuhanga yemewe n’Ubuyobozi bw’Imisoro ikoreshwa mu gutanga inyemezabuguzi igaragaza umusoro, uburyo n’inshingano bigomba kuba byujujwe mu gukoresha iyo mashini.",
